Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L
13,哈尔滨工业大学,我们都有光明的前途,6,894,Gold,孔佑康,邓俊辰,董希尧,N,N,+4(191),,,+1(11),+1(279),+1(49),,,+3(154),+2(88),-6,
14,国防科技大学,听党指挥,6,939,Gold,邱昊中,宋澎玉,张珂豪,N,N,+3(274),,,+3(6),,+1(48),,,+4(151),+2(176),+1(122),
15,浙江工业大学,汤姆熊猫,6,1026,Gold,郑卓男,侯潇扬,刘海丰,N,N,+3(278),,,+1(6),,+1(94),,,+3(84),+2(154),+3(267),
16,北京师范大学,古手羽入,6,1027,Gold,吴剑荣,吴松原,李鼎懋,N,N,+5(185),,,+1(5),+3(297),+1(60),,,+1(35),+8(182),,
17,中山大学,中山大学_职业鸽手,5,326,Gold,王程钥,谢立辉,徐达烽,N,N,+1(40),,,+2(6),,+2(47),,,+2(91),+2(60),,-5
18,南京大学,No Response,5,445,Gold,宋子辰,张天陵,王予曦,N,N,+1(236),,,+1(11),,+1(50),,,+1(58),+1(87),-7,
19,苏州大学,键盘冒奶,5,450,Gold,王浩,诸葛子英,李天镜,N,N,+4(151),,,+1(3),,+2(32),,,+1(68),+2(95),,
20,浙江理工大学,思睿男孩,5,501,Gold,刘智慧,陈可行,杨子俊,N,N,+3(198),,,+1(5),,+1(48),,,+1(74),+2(114),-9,
21,山东大学,唯我心,5,523,Gold,马旭阳,黄敏聪,魏秀颖,N,N,+3(219),,,+2(7),,+2(43),,,+1(83),+1(89),,
22,北京邮电大学,假面骑士,5,535,Gold,黄岳嘉,杨铁智,郑铎,N,N,+2(278),,,+1(6),,+1(62),,,+1(75),+1(93),-1,
23,北京师范大学,白银体验,5,540,Gold,高健扬,卢炜文,高艺炜,N,N,+3(226),,,+1(7),-3,+1(80),,,+2(58),+1(107),,
24,浙江师范大学,???,5,546,Gold,周鹗荐,周天辰,段忠杰,N,N,+5(180),,,+2(6),-14,+4(55),,,+1(38),+2(85),-1,
25,东北大学,则式长号,5,547,Silver,武嘉鑫,陈久健,邱而沐,N,N,+3(204),,,+1(10),,+1(37),,-3,+2(158),+2(57),,
26,北京交通大学,大脑喷射,5,567,Silver,金睿琦,胡雨轩,蔡伟斌,N,N,+3(250),,,+1(10),,+1(44),,,+2(95),+2(86),-7,
27,电子科技大学,UESTC_POP,5,578,Silver,彭俊强,欧阳韬,潘训涛,N,N,+6(193),,,+1(3),,+1(86),-5,,+2(62),+1(111),,
28,中山大学,中山大学_瓢,5,587,Silver,赵俊威,刘宇轩,梁济凡,N,N,+4(278),,,+1(4),,+3(76),,,+1(42),+1(85),,-3
29,上海交通大学,星尘,5,596,Silver,石昕怡,林春茹,徐若凡,N,N,+3(284),,,+1(11),,+1(45),,,+2(108),+1(87),-2,
30,四川大学,空白,5,630,Silver,游宇杰,张雷,伍斯思,N,N,+2(267),,,+1(6),,+2(59),,,+3(96),+2(100),-2,
31,杭州电子科技大学,杭电二队,5,643,Silver,王淳洋,徐景滨,张时嘉,N,N,+3(240),,,+2(7),-2,+2(65),-1,,+2(106),+1(124),-2,
32,清华大学,铲伙食小分队,5,646,Silver,罗崚骁,徐奥淳,宋香君,N,N,+3(210),,,+1(7),-2,+1(54),,,+1(131),+2(183),,
33,东南大学,我一个名字也想不出来了,5,668,Silver,李超磊,闻深博,孙毅远,N,N,+2(227),,,+1(4),,+1(28),,,+1(103),+4(224),-16,
34,广东工业大学,最大瘤,5,670,Silver,郑重,陈震东,康泽楠,N,N,+3(208),,,+2(3),,+2(102),,,+1(118),+1(156),-7,
35,南京大学,我是火车王,5,705,Silver,柴致远,朱景舟,丁保荣,N,N,,,,+1(6),,+1(105),,,+1(123),+2(164),+3(246),
36,中国地质大学（武汉）,胜天半子,5,751,Silver,尹港,汪圣翔,周伟国,N,N,+3(117),,,+2(9),,+1(145),,,+1(218),+2(180),,
37,东北大学,赏金猎人,5,758,Silver,袁乾宸,杨博,王惟,N,N,+1(233),,,+3(14),,+3(81),,,+1(103),+2(224),-5,
38,深圳大学,爆零,5,771,Silver,何嘉键,陈培豪,廖竞,N,N,+2(211),,,+1(4),,+1(64),,,+3(136),+2(274),-2,
39,山东科技大学,发现号,5,780,Silver,梁天心,邱鹏,上官祥正,N,N,+7(271),,,+1(8),,+2(61),,,+3(104),+1(154),-11,
40,哈尔滨工业大学,三个演员,5,809,Silver,于新蕊,曹舒淇,林琦慧,N,N,+4(297),,,+2(7),,+1(114),,,+1(92),+2(198),,
41,北京理工大学,社会佩奇,5,845,Silver,何金岷,马泽航,周琪森,N,N,+4(280),,,+1(3),,+1(130),,,+1(78),+5(211),-1,
42,成都信息工程大学,一个顶俩,5,852,Silver,林湖龙,彭莉萍,谭秋月,N,N,+6(294),,,+1(8),,+1(79),,,+1(168),+1(201),,
43,湘潭大学,木瓜同学,5,858,Silver,雷智凯,袁泽,贺强,N,N,+4(272),,,+1(6),-1,+2(89),,,+4(246),+1(103),-3,
44,南京信息工程大学,咕咕咕,5,866,Silver,施博文,沈逸凡,陈靖宇,N,N,+2(283),,,+2(9),,+1(75),,,+3(164),+3(213),-11,
45,哈尔滨工业大学(深圳),吃啥都不加香菜,5,880,Silver,彭博濠,亚梦溪,毛志东,N,N,-6,,,+2(10),+3(284),+2(81),,,+3(143),+3(200),,
46,福州大学,塔斯丁苟,5,883,Silver,陈华能,罗继鸿,郑学贵,N,N,+9(259),,,+2(10),,+1(144),,,+1(122),+1(167),-8,
47,华南理工大学计算机学院,SCUT_星辰闪耀,5,932,Silver,潘伟健,王一帆,郑炜城,N,N,+18(248),,,+1(11),,+1(79),,,+1(74),+4(117),-10,
48,华南理工大学软件学院,小南瓜,5,963,Silver,孙宇鹏,王络,章子寅,N,N,+5(232),,,+1(5),,+3(176),,,+2(179),+2(208),-2,
49,浙江工商大学,肥宅真的好快乐,5,979,Silver,缪佩翰,沈彤,王龙,N,N,+3(298),,,+1(5),,+5(139),,,+2(248),+1(146),,
50,同济大学,荠鸽,5,1077,Silver,叶茂尧,李昊龙,黄颖,N,N,+11(282),,,+1(7),,+1(83),,,+2(65),+7(298),,
51,安阳工学院,newgate txdy,5,1191,Silver,韩韦凡,张丁韦,马鹏源,N,N,+8(257),,,+1(5),,+1(291),,,+2(181),+1(295),,
52,华中科技大学,对未知用战斗演算,4,201,Silver,王际豪,程思哲,师天硕,N,N,-2,,,+1(3),,+1(65),,,+1(42),+1(89),,-4
53,广州大学,我钟意食烧鸡翼,4,245,Silver,卢浩宇,余梓宁,陈浩珲,N,N,-3,,,+1(4),,+2(56),,,+1(69),+1(94),-2,
54,郑州大学,队友倒写强联通,4,263,Silver,陈洋,黄中源,苏同,N,N,-11,,,+1(4),,+2(31),,,+2(91),+2(75),-2,
55,浙江农林大学,白昼之光,4,293,Silver,黄磊,顾博盛,章朝哲,N,N,-19,,,+1(5),,+2(77),,,+1(49),+2(120),,
56,天津大学,背着队友偷偷WA,4,333,Silver,范一隆,施浩森,王艺达,N,N,-2,,,+1(10),,+2(63),,,+1(150),+1(89),,
57,华东理工大学,亮剑,4,334,Silver,付成瑜,傅志凌,彭博,N,N,-5,,,+1(5),,+1(44),,,+3(165),+1(77),,
58,山东理工大学,QYQ的大冒险,4,341,Silver,亓玉宁,亓世恒,杨丰磊,N,N,-3,,,+1(4),,+2(68),,,+1(102),+2(126),-5,
59,山东理工大学,或许有一度春风不负微草枯荣,4,342,Silver,贾辉,李绪伟,郑延亮,N,N,-22,,,+1(14),,+1(65),,,+1(113),+1(147),,
60,上海大学,魔菜队,4,349,Silver,罗哲焱,林世铨,董昱,N,N,-4,,,+1(7),,+1(110),,,+1(139),+1(92),,
61,广东外语外贸大学,纸上牧羊,4,362,Silver,林冠权,邝江洲,曾迪鸿,N,N,-3,,,+1(4),,+1(46),,,+2(140),+2(130),,
62,中南大学,线性加速器,4,364,Silver,姜业鑫,黄文豪,连士熙,N,Y,,,,+1(4),,+1(76),,,+1(155),+1(126),,
63,浙江理工大学,我先放一盒卫生纸在这,4,384,Silver,胡成一,金奇,何光赋,N,N,-4,,,+2(13),,+2(61),,,+2(149),+2(80),,
64,暨南大学,看看你们花里胡哨的队名,4,388,Silver,彭勇,史磊,曾晓灿,N,N,-1,,,+1(8),,+1(60),,,+1(117),+2(181),,
65,江南大学,江南壹队,4,390,Silver,陈朝潮,许轲,卢涵,N,N,-11,,,+1(6),,+3(90),,,+1(161),+2(72),,
66,长沙理工大学,no submit no wa,4,396,Silver,李行,李良伟,晏政,N,N,-17,,,+2(9),,+4(108),,,+1(51),+1(147),,
67,哈尔滨工程大学,楼上等等我,4,397,Silver,赵子琦,李健楠,赵熠扬,N,N,-9,,,+2(15),,+1(87),,,+1(109),+2(144),,
68,东华大学,宇宙世界无敌,4,397,Silver,施杰,吴迪,郁宙,N,N,-5,,,+1(7),,+1(105),,,+2(192),+1(72),,
69,北京航空航天大学,我裂开了,4,400,Silver,丁元杰,肖思炀,郑耀彦,N,N,-4,,,+1(4),,+1(51),,,+3(125),+2(159),,
70,大连理工大学,L,4,423,Silver,吕嘉庆,刘易铖,梁家豪,N,N,-5,,,+1(8),,+1(63),,,+3(161),+2(131),,
71,天津大学,天津第二妇幼保健院,4,424,Silver,李睿智,王健宇,刘坤鑫,N,N,-16,,,+1(4),,+3(139),,,+1(109),+1(130),,
72,安徽大学,anti-sterotype,4,438,Silver,洪敏峰,郭有涛,冯炳熠,N,N,,,,+1(8),,+2(59),,,+2(124),+2(186),,
