Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,清华大学,零基础新生 1 队,11,983,+1(31),+1(41),+1(72),+2(58),+3(272),-,+1(7),-9,+1(168),+1(16),+2(94),+1(25),+1(119),26%,Gold,徐骁扬,刘海峰,陈诺,N,N
2,2,上海交通大学,夏日影,11,1008,+1(9),+1(31),+1(103),+1(53),+3(286),-,+1(13),-6,+1(119),+1(17),+2(81),+1(36),+2(180),26%,Gold,刘家宁,朱泽木,冯启豫,N,N
3,3,北京大学,飞带不长队,10,1093,+2(41),+1(61),+1(74),+4(136),-,-2,+2(22),-,+1(191),+1(15),+3(147),+1(47),+6(119),54%,Gold,方心童,蒋承佑,郑钧,N,N
4,4,复旦大学,使题来袭╭(╯ε╰)╮AC力场全开,10,1121,+2(28),+1(40),+1(102),+1(133),-1,-,+1(12),-,+1(265),+2(16),+4(155),+1(55),+2(195),37%,Gold,陈佳鹏,阚子淳,徐子恩,N,N
5,,上海交通大学,霞染长空,10,1122,+1(55),+1(39),+1(80),+3(133),-2,-,+2(17),-,+1(224),+1(15),+1(141),+2(52),+1(286),28%,Gold,黄佳瑞,钱智煊,林乐逍,N,N
6,,清华大学,击中月亮,10,1157,+1(18),+1(70),+1(45),+4(127),-11,-,+1(10),-,+3(281),+1(6),+4(171),+2(56),+3(153),52%,Gold,程思元,魏佳泽,戚朗瑞,N,N
7,5,广东工业大学,打ACM导致的,10,1200,+1(47),+1(95),+2(83),+1(169),-,-,+2(23),-,+2(270),+2(17),+1(162),+1(58),+1(196),28%,Gold,庞翔,杨子弘,林正,N,N
8,,北京大学,能不能想一个队名,10,1203,+2(43),+1(38),+1(117),+2(172),-,-,+3(10),-,+1(263),+1(24),+3(133),+1(92),+1(191),37%,Gold,胡一凡,杨博,金浩贤,N,N
9,,北京大学,没队名,10,1230,+2(89),+1(130),+4(132),+1(28),-29,-,+2(6),-,+1(235),+1(14),+2(173),+1(93),+1(210),37%,Gold,张恒毅,李铭乐洋,翟锦程,N,N
10,6,中国科学技术大学,铜铜铜sahur,10,1264,+2(25),+1(66),+2(127),+1(110),+7(299),-,+2(10),-,-,+1(14),+1(87),+2(46),+3(240),54%,Gold,范宇祺,孙志浩,梁嘉文,N,N
11,7,东北大学,东北大学_俊杰粉丝团,10,1268,+1(36),+1(68),+1(94),+2(159),-,-3,+1(15),-,+1(296),+1(20),+2(176),+1(57),+3(267),28%,Gold,谢天石,张佳栋,苏焜,N,N
12,,北京大学,蒟蒻排队,10,1478,+1(52),+1(40),+1(240),+4(92),+5(268),-,+2(12),-,-,+1(26),+4(222),+1(42),+3(224),56%,Gold,史皓嘉,鲜博宇,袁浩为,N,N
13,8,浙江大学,十发罚时,9,975,+2(74),+1(62),+3(108),+1(64),-,-,+2(34),-,+4(235),+1(14),+4(156),+1(28),-1,52%,Gold,万弘,徐锐扬,吴与伦,N,N
14,,中国科学技术大学,无垠,9,975,+1(36),+1(16),+1(104),+3(83),-,-,+1(7),-,-,+1(20),+5(277),+1(62),+3(210),47%,Gold,韩尚格,王怡钧,赖浩宸,N,N
15,,清华大学,罚时小队,9,1037,+1(25),+1(33),+1(74),+2(174),-,-,+2(12),-5,-,+1(16),+5(181),+1(61),+6(241),55%,Gold,李春进,华羽帆,孙梓皓,N,N
16,9,北京航空航天大学,蒋小军,9,1057,+3(39),+1(67),+1(98),+1(135),-,-,+2(14),-,+1(204),+1(21),+5(259),+1(80),-,43%,Gold,蒋槟阳,董和军,王大禹,N,N
17,10,武汉大学,队名长度小于0,9,1061,+1(36),+1(121),+2(93),+2(164),-,-,+1(20),-,-,+1(14),+1(210),+1(91),+2(252),25%,Gold,苏泓宇,胡文锦,李王城,N,N
18,11,山东大学,SDU-ENG,9,1149,+1(58),+1(71),+1(119),+2(252),-,-,+1(21),-,-,+1(16),+2(246),+1(47),+1(279),18%,Gold,钟以楠,陈方航,刘智豪,N,N
19,,浙江大学,幻想时刻,9,1272,+1(55),+1(49),+2(71),+4(196),-,-,+1(13),-,-,+1(20),+6(281),+1(32),+5(295),59%,Gold,张厚华,朱睿哲,柯怀俊,N,N
20,12,中山大学,中山大学-2333er,9,1285,+4(49),+1(78),+2(216),+2(108),-,-,+2(15),-,-,+3(29),+3(181),+2(72),+2(297),57%,Gold,高祖伟,刘翔乐,高艺桐,N,N
21,,北京航空航天大学,北航三院急诊科,9,1286,+3(65),+1(123),+1(142),+1(216),-,-,+2(32),-,+1(290),+1(15),+1(245),+1(98),-,25%,Gold,杭洋,李墨之,邹广健,N,N
22,,中山大学,中山大学-三驱兄弟,9,1346,+3(62),+1(86),+4(241),+1(180),-,-,+2(24),-,+2(288),+1(31),+3(158),+2(76),-,52%,Gold,张宸睿,周睿韬,张益晟,N,N
23,13,南方科技大学,南方科技大学-拉基,9,1355,+4(170),+1(61),+1(98),+2(265),-,-,+5(29),-,-,+1(29),+4(187),+1(54),+1(242),55%,Gold,易楚曦,陈恺桉,蒲韦坤,N,N
24,,清华大学,有标号带花树计数,9,1402,+5(151),+1(66),+3(195),+2(210),-,-,+1(17),-,+3(275),+1(15),-3,+2(156),+3(77),57%,Gold,汪直方,黄思远,林卓铖,N,N
25,14,香港中文大学,别笑，你来你也过不了test 2,9,1513,+1(34),+1(64),+10(265),+2(128),-,-,+2(17),-,+1(242),+1(6),+2(279),+5(158),-1,64%,Gold,张天瀚,姜宣丞,朱睿正,N,N
26,,浙江大学,假如像他一样语文 130,8,777,+1(38),+1(58),+1(72),+2(120),-2,-,+2(13),-,-,+2(29),+9(203),+1(24),-1,57%,Gold,张涵硕,毛艺婷,姜圻圣,N,N
27,,中山大学,中山大学-无限天堂,8,811,+2(68),+1(74),+2(26),+3(169),-,-,+2(29),-,-,+1(31),+1(204),+1(110),-7,38%,Gold,邱恺铭,李昊洲,韩冠东,N,N
28,15,南京大学,呢喃得了mvp,8,833,+1(65),+1(47),+1(115),+2(173),-,-,+1(17),-,-,+1(23),+2(271),+1(82),-,20%,Gold,王意诚,卢泰烨,荣恒嬉,N,N
29,,南京大学,CS-408,8,872,+3(61),+1(75),+2(100),+2(147),-,-,+4(13),-2,-,+1(40),+2(240),+1(36),-,50%,Gold,叶昱圻,刘玉琢,黄亮,N,N
30,16,华中科技大学,长夜杯空,8,881,+3(53),+1(42),+2(140),+2(137),-,-,+2(13),-,-1,+1(20),+4(252),+1(64),-,50%,Gold,万睿朋,李鑫,邓本永,N,N
31,17,哈尔滨工业大学（深圳）,哈气五小时,8,930,+2(52),+1(53),+1(253),+1(134),-,-,+1(19),-,-1,+1(22),+3(267),+1(70),-,27%,Gold,曹鹏宇,曹锦程,高俊垚,N,N
32,18,哈尔滨工业大学（威海）,为帅气毕业老学长征婚QQ搜“莱芜贝克汉姆”,8,956,+1(63),+1(53),+1(245),+3(172),-,-,+2(20),-,-,+1(17),+3(179),+2(87),-,42%,Gold,龙禺辰,吴昊亮,李义朋,N,N
33,19,南京航空航天大学,空悲切,8,976,+4(57),+1(116),+1(91),+4(206),-,-,+1(10),-,-,+1(20),+2(267),+1(69),-,46%,Silver,胡昊天,赵乐坤,匡显然,N,N
34,20,西北工业大学,D.D.D.,8,1038,+2(100),+1(31),+1(115),+8(293),-,-,+1(11),-,-,+1(23),+3(213),+1(52),-1,55%,Silver,武守恒,吴语,严诚治,N,N
35,,复旦大学,三棱镜,8,1040,+1(49),+1(60),-1,+2(146),-,-,+1(9),-,-,+1(14),+7(279),+1(38),+4(245),55%,Silver,潘梓睿,戴承皓,杨辰浩,N,N
36,21,东北大学秦皇岛分校,三日凌空,8,1119,+2(61),+1(90),+3(200),+1(160),-,-,+1(13),-,-,+1(31),+5(279),+2(125),-,50%,Silver,肖轲闻,刘峻畅,冯阳阳,N,N
37,22,中国人民大学,1+1,8,1124,+5(234),+1(46),+2(192),+1(112),-,-,+1(9),-,-,+1(22),+1(249),+2(140),-1,42%,Silver,晏艺桓,房子珈,孙奕豪,N,N
38,23,厦门大学,随机增量,8,1135,+3(76),+1(45),+5(247),+3(102),-,-,+4(25),-,-,+1(33),+3(209),+1(138),-,61%,Silver,杨晟明,戴思杰,季裕杰,N,N
39,,南方科技大学,南方科技大学-奥斯陆,8,1175,+5(101),+1(33),+3(212),-3,-,-,+1(17),-,-,+1(13),+2(252),+1(91),+2(296),50%,Silver,姜奕豪,叶翰邦,张祺宇,N,N
40,,东北大学秦皇岛分校,最澄澈的空与海,8,1229,+4(106),+1(120),+1(280),+3(299),-,-,+1(18),-,+1(209),+1(22),-,+1(75),-,38%,Silver,张昱东,王若翔,张裕博,N,N
41,,南京大学,点银成金,8,1250,+1(74),+1(93),+2(240),+5(235),-,-,+1(17),-,-,+1(10),+5(284),+1(117),-,52%,Silver,陈哲敏,李方泽,熊俊淇,N,N
42,,南方科技大学,南方科技大学-巴库,8,1267,+1(83),+1(123),+3(268),+5(211),-,-,+3(33),-,-,+1(27),+2(247),+2(75),-,55%,Silver,王泰翔,殷铭轩,李佳霖,N,N
43,24,西湖大学,拼尽全力无法战胜AI,8,1437,+4(161),+1(122),+3(84),+2(257),-,-,+2(25),-,-,+1(47),-,+5(180),+4(281),63%,Silver,楼鑫浩,钱欣宇,周扬帆,N,N
44,,东北大学秦皇岛分校,Fire Bird,7,656,+1(65),+1(46),+1(127),+3(251),-,-,+1(16),-,-,+1(23),-,+1(88),-,22%,Silver,邓逸飞,尹瀚磊,段俊宏,N,N
45,25,华东师范大学,"mex {fe, cu, ag}",7,727,+1(75),+1(77),+1(120),+3(281),-,-,+1(15),-,-,+1(21),-6,+1(98),-,22%,Silver,刘俊毅,严之皓,王江扬,N,N
46,,北京航空航天大学,天铸币,7,728,+2(131),+1(85),+3(166),+4(77),-,-,+1(28),-,-,+1(20),-1,+1(101),-,46%,Silver,龚锦勋,李博琛,徐宏烯,N,N
47,26,中国民航大学,四渡赤水2.0,7,784,+1(47),+1(131),+2(161),+3(259),-,-,+1(17),-,-,+1(24),-,+1(85),-,30%,Silver,王璟鸿,崔凌宵,颜一鸣,N,N
48,,南京大学,Never break;,7,806,+1(54),+1(93),-,+5(234),-,-,+1(18),-,-,+1(22),+3(193),+1(72),-,46%,Silver,李冠辰,范成,李响,N,N
49,27,长沙理工大学,揭开记忆的帷幕，激起往昔的涟漪,7,814,+1(61),+1(142),+1(171),+2(232),-,-,+3(18),-,-,+1(26),-5,+1(104),-,30%,Silver,陈师贤,赵翰熙,沈彬宇,N,N
50,,厦门大学,闪光春日影,7,815,+2(106),+1(57),+4(131),+3(234),-,-,+3(33),-,-,+1(26),-11,+1(68),-4,53%,Silver,邹品聪,栾英石,李林泽,N,N
51,28,西安交通大学,今日澄,7,827,+2(52),+1(81),+2(212),+2(190),-,-,+4(39),-,-1,+1(33),-,+1(100),-,46%,Silver,刘欣楠,杨润轩,杨一帆,N,N
52,29,南京邮电大学,何意味,7,872,+2(73),+1(102),+3(159),+4(251),-16,-,+2(18),-,-,+1(19),-,+2(90),-,53%,Silver,赵聿祺,王普立,崔晨曦,N,N
53,,浙江大学,吃你家大米,7,872,+3(58),+1(78),+5(255),+1(136),-,-,+5(29),-,-,+1(23),-1,+1(93),-,58%,Silver,张驰,李俊睿,盛宝宝,N,N
54,,中山大学,中山大学-打铁旅游,7,949,+4(57),+1(85),-7,+2(218),-,-,+1(37),-,-,+1(28),+6(275),+1(69),-,56%,Silver,肖淇,吴明禹,苏律硕,N,N
55,30,四川大学,你们在干什么喵？在罚时喵！补药罚我时喵！,7,964,+3(96),+1(73),+2(212),+4(282),-,-,+2(26),-,-,+2(17),-8,+1(98),-,53%,Silver,赵勇哲,邓雍,晏然,N,N
56,31,北京理工大学,木叶三忍,7,1013,+6(171),+1(38),+1(263),-,-,-,+2(29),-,-,+1(24),+2(250),+2(78),-,53%,Silver,陈家辉,王煜皓,邵子鸣,N,N
57,32,中南大学,你抚琵琶奏琴弦,7,1049,+4(120),+2(105),-,+1(200),-,-,+2(21),-,-,+1(18),+3(281),+2(144),-,53%,Silver,文启智,刘鸣晓,叶楷,N,N
58,,山东大学,应用随机过程,7,1059,+4(124),+1(193),+1(169),-2,-,-,+1(17),-,-,+1(35),-7,+5(133),+2(228),53%,Silver,李玉庭,王源鑫,苏岳,N,N
59,33,厦门理工学院,优秀素质,7,1060,+5(134),+1(95),+3(193),+2(247),-,-,+5(38),-,-,+2(51),-,+1(62),-,63%,Silver,洪世炜,周子峰,张子漠,N,N
60,34,浙江师范大学,姜还是老的辣知道不,7,1114,+2(66),+1(122),+4(264),+3(291),-,-,+1(14),-,-,+1(19),-,+3(178),-,53%,Silver,刘思源,童培峻,许凯胤,N,N
61,,南京航空航天大学,XML,7,1149,+1(58),+2(220),+2(239),+4(292),-,-,+2(22),-,-,+1(10),-,+2(168),-,50%,Silver,任衍硕,邵嘉奇,张鑫雨,N,N
